id,tool_call
Q-00486,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')"
Q-00370,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-01747,"get_module_status(module='colibri',system='communications')"
Q-02762,no_action
Q-01915,"send_alert(module='colibri',severity='high',reason='pressure_drop')"
Q-00454,"send_alert(module='quetzal',severity='critical',reason='oxygen_leak')"
Q-00938,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-01390,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-00911,"get_telemetry(module='colibri',metric='oxygen',timeframe_hours=1)"
Q-00294,"send_alert(module='jaguar',severity='critical',reason='abnormal_temperature')"
Q-02402,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Q-03105,"calculate_trajectory(maneuver='orbit_adjustment',urgency='planned')"
Q-00698,"get_module_status(module='condor',system='life_support')"
Q-02855,no_action
Q-02784,no_action
Q-01249,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-01020,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')"
Q-01030,"schedule_maintenance(module='tucan',task='sensor_repair',priority='routine')"
Q-02294,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-02371,"send_alert(module='jaguar',severity='high',reason='oxygen_leak')"
Q-01004,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Q-01070,"send_alert(module='jaguar',severity='critical',reason='pressure_drop')"
Q-02698,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-03130,"get_module_status(module='jaguar',system='life_support')"
Q-02861,no_action
Q-00132,"activate_protocol(protocol_id='MASA-SEC-007',scope='station_wide')"
Q-01692,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')"
Q-02636,"send_alert(module='condor',severity='high',reason='pressure_drop')"
Q-00259,"send_alert(module='vicuna',severity='high',reason='structural_damage')"
Q-01162,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-01469,"send_alert(module='colibri',severity='high',reason='communication_loss')"
Q-03192,"control_system(module='tucan',system='cooling',action='activate')"
Q-02670,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-02837,no_action
Q-00917,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Q-02615,"request_supply(category='food',urgency='expedited')"
Q-00229,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-01763,"activate_protocol(protocol_id='MASA-SEC-013',scope='module_only')"
Q-02746,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-02897,no_action
Q-02920,no_action
Q-01427,"send_alert(module='vicuna',severity='critical',reason='radiation_spike')"
Q-02589,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-02777,no_action
Q-03210,"calculate_trajectory(maneuver='orbit_adjustment',urgency='planned')"
Q-03187,"calculate_trajectory(maneuver='orbit_adjustment',urgency='immediate')"
Q-02875,no_action
Q-02977,no_action
Q-02455,"send_alert(module='tucan',severity='high',reason='radiation_spike')"
Q-00006,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')"
Q-00396,"schedule_maintenance(module='jaguar',task='hull_inspection',priority='routine')"
Q-00414,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-02753,"send_alert(module='quetzal',severity='critical',reason='oxygen_leak')"
Q-00254,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-01975,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Q-00435,"control_system(module='tucan',system='ventilation',action='decrease')"
Q-02972,no_action
Q-01998,"get_module_status(module='quetzal',system='life_support')"
Q-02303,"get_telemetry(module='condor',metric='radiation',timeframe_hours=12)"
Q-01101,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-02597,"send_message(recipient='commander',priority='high')"
Q-01028,"send_alert(module='colibri',severity='medium',reason='power_fluctuation')"
Q-03148,"calculate_trajectory(maneuver='docking',urgency='planned')"
Q-02403,"get_telemetry(module='colibri',metric='temperature',timeframe_hours=1)"
Q-00161,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')"
Q-01582,"calculate_trajectory(maneuver='debris_avoidance',urgency='immediate')"
Q-00368,"activate_protocol(protocol_id='MASA-SEC-015',scope='station_wide')"
Q-01872,"send_message(recipient='commander',priority='low')"
Q-03155,"request_supply(category='fuel',urgency='emergency')"
Q-00044,"send_alert(module='colibri',severity='high',reason='pressure_drop')"
Q-01765,"control_system(module='vicuna',system='heating',action='deactivate')"
Q-00252,"activate_protocol(protocol_id='MASA-SEC-006',scope='station_wide')"
Q-02506,"send_alert(module='quetzal',severity='high',reason='pressure_drop')"
Q-01365,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-00781,"send_alert(module='quetzal',severity='high',reason='pressure_drop')"
Q-00794,"request_supply(category='scientific',urgency='emergency')"
Q-00483,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-01154,"send_alert(module='jaguar',severity='critical',reason='pressure_drop')"
Q-01695,"calculate_trajectory(maneuver='debris_avoidance',urgency='immediate')"
Q-00197,"send_alert(module='colibri',severity='high',reason='pressure_drop')"
Q-03146,"control_system(module='jaguar',system='ventilation',action='increase')"
Q-01229,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')"
Q-00792,"send_alert(module='colibri',severity='high',reason='structural_damage')"
Q-02731,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')"
Q-00365,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-01011,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-00663,"send_message(recipient='specialist_1',priority='low')"
Q-01897,"request_supply(category='equipment',urgency='expedited')"
Q-02812,no_action
Q-00251,"send_alert(module='condor',severity='critical',reason='radiation_spike')"
Q-03211,"control_system(module='condor',system='heating',action='activate')"
Q-00057,"send_alert(module='vicuna',severity='critical',reason='radiation_spike')"
Q-01460,"send_alert(module='tucan',severity='high',reason='oxygen_leak')"
Q-02383,"send_alert(module='condor',severity='high',reason='radiation_spike')"
Q-02037,"request_supply(category='scientific',urgency='routine')"
Q-02648,"send_alert(module='jaguar',severity='high',reason='structural_damage')"
Q-00047,"send_alert(module='jaguar',severity='critical',reason='pressure_drop')"
Q-01917,"get_telemetry(module='condor',metric='temperature',timeframe_hours=24)"
Q-00735,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-00930,no_action
Q-02063,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')"
Q-00015,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Q-00446,"control_system(module='tucan',system='lighting',action='decrease')"
Q-00703,"get_module_status(module='vicuna',system='structural')"
Q-00947,"schedule_maintenance(module='jaguar',task='software_update',priority='routine')"
Q-00770,"send_alert(module='condor',severity='high',reason='pressure_drop')"
Q-03231,"control_system(module='jaguar',system='cooling',action='increase')"
Q-01735,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
Q-01206,"send_alert(module='colibri',severity='high',reason='pressure_drop')"
Q-01605,"send_message(recipient='medical_officer',priority='high')"
Q-00481,"get_crew_status(module='condor',info='health')"
Q-02583,"schedule_maintenance(module='quetzal',task='system_calibration',priority='urgent')"
Q-02528,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-01045,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-01862,"send_alert(module='colibri',severity='critical',reason='radiation_spike')"
Q-01751,"send_alert(module='quetzal',severity='critical',reason='oxygen_leak')"
Q-03084,"request_supply(category='medical',urgency='expedited')"
Q-02512,"control_system(module='quetzal',system='heating',action='activate')"
Q-00707,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-01584,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')"
Q-00398,"control_system(module='tucan',system='ventilation',action='increase')"
Q-02117,"get_crew_status(module='colibri',info='location')"
Q-02010,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-01848,"send_alert(module='condor',severity='critical',reason='abnormal_temperature')"
Q-03047,"request_supply(category='food',urgency='expedited')"
Q-00231,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-02890,no_action
Q-03138,"schedule_maintenance(module='tucan',task='sensor_repair',priority='urgent')"
Q-02005,"get_module_status(module='jaguar',system='life_support')"
Q-00495,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-00149,"send_message(recipient='all_crew',priority='medium')"
Q-01704,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')"
Q-01233,"schedule_maintenance(module='jaguar',task='system_calibration',priority='urgent')"
Q-00140,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
Q-01699,"calculate_trajectory(maneuver='docking',urgency='planned')"
Q-01559,"send_alert(module='colibri',severity='high',reason='communication_loss')"
Q-02315,"send_alert(module='vicuna',severity='critical',reason='oxygen_leak')"
Q-02036,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-00640,"control_system(module='condor',system='heating',action='deactivate')"
Q-02055,"activate_protocol(protocol_id='MASA-SEC-007',scope='station_wide')"
Q-00325,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-03143,"get_module_status(module='condor',system='power')"
Q-00732,"send_alert(module='tucan',severity='critical',reason='abnormal_temperature')"
Q-00578,"get_crew_status(module='colibri',info='schedule')"
Q-01168,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-00488,"send_alert(module='condor',severity='critical',reason='radiation_spike')"
Q-00310,"send_message(recipient='all_crew',priority='medium')"
Q-01731,"send_alert(module='jaguar',severity='critical',reason='oxygen_leak')"
Q-00852,"get_module_status(module='colibri',system='thermal')"
Q-02945,no_action
Q-00022,"calculate_trajectory(maneuver='debris_avoidance',urgency='planned')"
Q-01069,"get_crew_status(module='quetzal',info='health')"
Q-00405,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-01203,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-02940,no_action
Q-00967,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-00439,"send_alert(module='condor',severity='high',reason='radiation_spike')"
Q-01644,no_action
Q-00199,"send_alert(module='tucan',severity='critical',reason='abnormal_temperature')"
Q-01906,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')"
Q-00222,"send_alert(module='jaguar',severity='critical',reason='oxygen_leak')"
Q-01302,"schedule_maintenance(module='vicuna',task='system_calibration',priority='routine')"
Q-02282,"send_alert(module='jaguar',severity='medium',reason='power_fluctuation')"
Q-02608,"send_alert(module='jaguar',severity='high',reason='structural_damage')"
Q-01031,"send_alert(module='vicuna',severity='high',reason='radiation_spike')"
Q-00429,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-01810,"send_alert(module='jaguar',severity='high',reason='oxygen_leak')"
Q-00642,"send_alert(module='tucan',severity='high',reason='oxygen_leak')"
Q-00716,"send_alert(module='jaguar',severity='critical',reason='pressure_drop')"
Q-00117,"request_supply(category='food',urgency='emergency')"
Q-03147,"schedule_maintenance(module='colibri',task='system_calibration',priority='urgent')"
Q-02305,"send_alert(module='colibri',severity='critical',reason='oxygen_leak')"
Q-02767,no_action
Q-02180,"get_crew_status(module='tucan',info='location')"
Q-02216,"send_alert(module='quetzal',severity='critical',reason='oxygen_leak')"
Q-00340,"send_alert(module='jaguar',severity='high',reason='pressure_drop')"
Q-02757,"control_system(module='condor',system='filtration',action='decrease')"
Q-00682,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
Q-00345,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-02166,"send_alert(module='colibri',severity='critical',reason='radiation_spike')"
Q-03076,"get_telemetry(module='quetzal',metric='radiation',timeframe_hours=6)"
Q-03067,"schedule_maintenance(module='condor',task='power_cell_swap',priority='urgent')"
Q-00063,"send_alert(module='vicuna',severity='critical',reason='oxygen_leak')"
Q-00364,"send_message(recipient='commander',priority='urgent')"
Q-01055,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Q-01133,"get_module_status(module='jaguar',system='communications')"
Q-01933,"activate_protocol(protocol_id='MASA-SEC-013',scope='module_only')"
Q-02267,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-00014,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-01440,"send_alert(module='condor',severity='critical',reason='oxygen_leak')"
Q-03003,no_action
Q-01585,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')"
Q-02290,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
Q-02249,"request_supply(category='spare_parts',urgency='emergency')"
Q-00584,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')"
Q-02318,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Q-00520,"activate_protocol(protocol_id='MASA-SEC-007',scope='station_wide')"
Q-01794,"send_alert(module='jaguar',severity='critical',reason='radiation_spike')"
Q-01138,"send_alert(module='condor',severity='high',reason='oxygen_leak')"
Q-00433,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-01992,"get_crew_status(module='vicuna',info='health')"
Q-01165,"get_telemetry(module='tucan',metric='radiation',timeframe_hours=1)"
Q-00828,"send_alert(module='quetzal',severity='critical',reason='abnormal_temperature')"
Q-00175,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-01026,"send_alert(module='tucan',severity='high',reason='structural_damage')"
Q-02053,"send_alert(module='tucan',severity='high',reason='oxygen_leak')"
Q-02130,"get_crew_status(module='condor',info='schedule')"
Q-01040,"get_telemetry(module='colibri',metric='oxygen',timeframe_hours=6)"
Q-00865,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-01792,"send_alert(module='colibri',severity='critical',reason='abnormal_temperature')"
Q-03120,"schedule_maintenance(module='quetzal',task='system_calibration',priority='routine')"
Q-03015,no_action
Q-00664,"get_crew_status(module='colibri',info='current_activity')"
Q-01287,"get_crew_status(module='quetzal',info='current_activity')"
Q-02419,"send_alert(module='quetzal',severity='high',reason='oxygen_leak')"
Q-02018,"get_module_status(module='jaguar',system='thermal')"
Q-01163,"send_message(recipient='specialist_1',priority='urgent')"
Q-00415,"send_alert(module='condor',severity='high',reason='oxygen_leak')"
Q-00644,"send_alert(module='quetzal',severity='high',reason='oxygen_leak')"
Q-02619,"send_alert(module='tucan',severity='high',reason='structural_damage')"
Q-02167,"send_alert(module='condor',severity='medium',reason='power_fluctuation')"
Q-00725,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-01124,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-01434,"send_alert(module='quetzal',severity='critical',reason='oxygen_leak')"
Q-01253,"send_alert(module='jaguar',severity='critical',reason='oxygen_leak')"
Q-00690,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
Q-00386,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')"
Q-01554,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')"
Q-02398,"send_alert(module='colibri',severity='critical',reason='pressure_drop')"
Q-02533,"control_system(module='vicuna',system='cooling',action='activate')"
Q-01944,"activate_protocol(protocol_id='MASA-SEC-013',scope='module_only')"
Q-00245,"schedule_maintenance(module='jaguar',task='sensor_repair',priority='routine')"
Q-00387,"send_alert(module='vicuna',severity='high',reason='pressure_drop')"
Q-02234,"send_alert(module='jaguar',severity='high',reason='pressure_drop')"
Q-01805,"schedule_maintenance(module='colibri',task='software_update',priority='urgent')"
Q-00476,"control_system(module='vicuna',system='filtration',action='decrease')"
Q-00276,"send_alert(module='condor',severity='critical',reason='power_fluctuation')"
Q-02639,"send_alert(module='jaguar',severity='critical',reason='power_fluctuation')"
Q-00025,"activate_protocol(protocol_id='MASA-SEC-015',scope='station_wide')"
Q-02914,no_action
Q-00491,"control_system(module='jaguar',system='heating',action='deactivate')"
Q-02306,"send_alert(module='jaguar',severity='critical',reason='abnormal_temperature')"
Q-00432,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-01494,"send_alert(module='colibri',severity='critical',reason='pressure_drop')"
Q-00450,"send_alert(module='quetzal',severity='high',reason='structural_damage')"
Q-00982,"calculate_trajectory(maneuver='station_keeping',urgency='planned')"
Q-02040,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-00374,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Q-01804,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')"
Q-01112,no_action
Q-02520,"send_alert(module='condor',severity='critical',reason='oxygen_leak')"
Q-02916,no_action
Q-01789,"send_alert(module='colibri',severity='medium',reason='power_fluctuation')"
Q-02195,"send_alert(module='quetzal',severity='high',reason='pressure_drop')"
Q-00094,"send_alert(module='colibri',severity='high',reason='radiation_spike')"
Q-00831,"send_alert(module='condor',severity='high',reason='radiation_spike')"
Q-02789,no_action
Q-00669,"activate_protocol(protocol_id='MASA-SEC-015',scope='station_wide')"
Q-01241,no_action
Q-00210,"send_alert(module='condor',severity='critical',reason='power_fluctuation')"
Q-00224,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
Q-02924,no_action
Q-01531,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-02414,"send_message(recipient='engineer',priority='low')"
Q-02118,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')"
Q-01059,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-03223,"request_supply(category='food',urgency='emergency')"
Q-01433,"get_crew_status(module='jaguar',info='health')"
Q-03197,"get_telemetry(module='colibri',metric='power',timeframe_hours=24)"
Q-00754,"schedule_maintenance(module='condor',task='filter_replacement',priority='urgent')"
Q-02872,no_action
Q-01945,"send_alert(module='vicuna',severity='critical',reason='pressure_drop')"
Q-01596,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')"
Q-03034,no_action
Q-02799,no_action
Q-01882,"send_message(recipient='engineer',priority='urgent')"
Q-00313,"send_alert(module='condor',severity='high',reason='oxygen_leak')"
Q-01932,"control_system(module='colibri',system='lighting',action='activate')"
Q-01248,"send_alert(module='jaguar',severity='high',reason='structural_damage')"
Q-02621,"request_supply(category='food',urgency='routine')"
Q-00929,"schedule_maintenance(module='condor',task='power_cell_swap',priority='urgent')"
Q-00475,"send_alert(module='condor',severity='critical',reason='pressure_drop')"
Q-00406,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-00255,"send_alert(module='colibri',severity='high',reason='pressure_drop')"
Q-02871,no_action
Q-00612,"get_module_status(module='vicuna',system='structural')"
Q-01578,"request_supply(category='spare_parts',urgency='routine')"
Q-01931,"send_alert(module='condor',severity='critical',reason='oxygen_leak')"
Q-03160,"request_supply(category='scientific',urgency='routine')"
Q-01861,"calculate_trajectory(maneuver='debris_avoidance',urgency='immediate')"
Q-03208,"control_system(module='quetzal',system='filtration',action='activate')"
Q-02967,no_action
Q-00225,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-01744,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-02390,"get_telemetry(module='jaguar',metric='oxygen',timeframe_hours=12)"
Q-03085,"control_system(module='vicuna',system='ventilation',action='increase')"
Q-01217,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
Q-01071,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-00062,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-00164,"send_alert(module='vicuna',severity='medium',reason='radiation_spike')"
Q-01480,"schedule_maintenance(module='vicuna',task='sensor_repair',priority='urgent')"
Q-00099,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-01575,"get_telemetry(module='tucan',metric='power',timeframe_hours=1)"
Q-00827,"send_alert(module='quetzal',severity='high',reason='oxygen_leak')"
Q-00045,"send_alert(module='condor',severity='high',reason='pressure_drop')"
Q-02880,no_action
Q-01383,"send_message(recipient='all_crew',priority='urgent')"
Q-03097,"control_system(module='tucan',system='heating',action='activate')"
Q-03054,"control_system(module='condor',system='filtration',action='activate')"
Q-00861,"send_alert(module='quetzal',severity='high',reason='pressure_drop')"
Q-01984,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-01868,"get_crew_status(module='jaguar',info='current_activity')"
Q-01702,"schedule_maintenance(module='jaguar',task='filter_replacement',priority='routine')"
Q-03157,"control_system(module='condor',system='filtration',action='activate')"
Q-02822,no_action
