id,tool_call,Usage
Q-02520,"send_alert(module='condor',severity='critical',reason='oxygen_leak')",Public
Q-03343,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')",Private
Q-00665,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')",Public
Q-03015,no_action,Public
Q-01112,no_action,Public
Q-00483,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')",Public
Q-03281,"send_message(recipient='specialist_2',priority='medium')",Private
Q-03427,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')",Private
Q-03435,"send_alert(module='colibri',severity='high',reason='radiation_spike')",Private
Q-03360,"send_alert(module='colibri',severity='critical',reason='oxygen_leak')",Private
Q-02880,no_action,Public
Q-03224,"get_module_status(module='vicuna',system='structural')",Public
Q-03289,"control_system(module='condor',system='ventilation',action='decrease')",Private
Q-00707,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')",Public
Q-03266,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')",Private
Q-03414,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')",Private
Q-03373,"send_alert(module='jaguar',severity='critical',reason='radiation_spike')",Private
Q-00450,"send_alert(module='quetzal',severity='high',reason='structural_damage')",Public
Q-01582,"calculate_trajectory(maneuver='debris_avoidance',urgency='immediate')",Public
Q-03421,"schedule_maintenance(module='condor',task='hull_inspection',priority='urgent')",Private
Q-00792,"send_alert(module='colibri',severity='high',reason='structural_damage')",Public
Q-00103,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')",Public
Q-00640,"control_system(module='condor',system='heating',action='deactivate')",Public
Q-02789,no_action,Public
Q-00251,"send_alert(module='condor',severity='critical',reason='radiation_spike')",Public
Q-03522,no_action,Private
Q-03257,"calculate_trajectory(maneuver='station_keeping',urgency='planned')",Private
Q-03475,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')",Private
Q-03393,"send_alert(module='jaguar',severity='critical',reason='power_fluctuation')",Private
Q-03474,"send_alert(module='condor',severity='high',reason='oxygen_leak')",Private
Q-03251,"send_alert(module='colibri',severity='high',reason='oxygen_leak')",Private
Q-02305,"send_alert(module='colibri',severity='critical',reason='oxygen_leak')",Public
Q-03340,"send_alert(module='jaguar',severity='medium',reason='power_fluctuation')",Private
Q-00831,"send_alert(module='condor',severity='high',reason='radiation_spike')",Public
Q-00398,"control_system(module='tucan',system='ventilation',action='increase')",Public
Q-03305,"get_crew_status(module='colibri',info='schedule')",Private
Q-01933,"activate_protocol(protocol_id='MASA-SEC-013',scope='module_only')",Public
Q-03438,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')",Private
Q-02920,no_action,Public
Q-03420,"get_module_status(module='colibri',system='communications')",Private
Q-00014,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')",Public
Q-00435,"control_system(module='tucan',system='ventilation',action='decrease')",Public
Q-02729,"get_crew_status(module='tucan',info='health')",Public
Q-03546,"get_telemetry(module='quetzal',metric='radiation',timeframe_hours=6)",Private
Q-01906,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')",Public
Q-02400,"send_alert(module='colibri',severity='high',reason='pressure_drop')",Public
Q-01596,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')",Public
Q-03526,no_action,Private
Q-03339,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')",Private
Q-00386,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')",Public
Q-01253,"send_alert(module='jaguar',severity='critical',reason='oxygen_leak')",Public
Q-03412,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')",Private
Q-03148,"calculate_trajectory(maneuver='docking',urgency='planned')",Public
Q-03496,"send_alert(module='colibri',severity='high',reason='communication_loss')",Private
Q-03348,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')",Private
Q-03223,"request_supply(category='food',urgency='emergency')",Public
Q-00057,"send_alert(module='vicuna',severity='critical',reason='radiation_spike')",Public
Q-01122,"control_system(module='colibri',system='lighting',action='increase')",Public
Q-03054,"control_system(module='condor',system='filtration',action='activate')",Public
Q-00935,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')",Public
Q-01731,"send_alert(module='jaguar',severity='critical',reason='oxygen_leak')",Public
Q-03562,"request_supply(category='food',urgency='emergency')",Private
Q-02306,"send_alert(module='jaguar',severity='critical',reason='abnormal_temperature')",Public
Q-01578,"request_supply(category='spare_parts',urgency='routine')",Public
Q-02398,"send_alert(module='colibri',severity='critical',reason='pressure_drop')",Public
Q-01162,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')",Public
Q-03382,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')",Private
Q-03479,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')",Private
Q-03355,"send_alert(module='quetzal',severity='critical',reason='pressure_drop')",Private
Q-03415,"control_system(module='jaguar',system='lighting',action='activate')",Private
Q-03304,"control_system(module='condor',system='lighting',action='increase')",Private
Q-01383,"send_message(recipient='all_crew',priority='urgent')",Public
Q-03437,"get_telemetry(module='colibri',metric='humidity',timeframe_hours=24)",Private
Q-03489,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')",Private
Q-03370,"get_crew_status(module='condor',info='health')",Private
Q-01249,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')",Public
Q-03248,"send_alert(module='colibri',severity='high',reason='radiation_spike')",Private
Q-03386,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')",Private
Q-03155,"request_supply(category='fuel',urgency='emergency')",Public
Q-03208,"control_system(module='quetzal',system='filtration',action='activate')",Public
Q-00938,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')",Public
Q-03446,"send_alert(module='colibri',severity='critical',reason='radiation_spike')",Private
Q-02696,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')",Public
Q-01794,"send_alert(module='jaguar',severity='critical',reason='radiation_spike')",Public
Q-03507,"send_alert(module='quetzal',severity='critical',reason='abnormal_temperature')",Private
Q-01575,"get_telemetry(module='tucan',metric='power',timeframe_hours=1)",Public
Q-01004,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')",Public
Q-03545,"request_supply(category='medical',urgency='expedited')",Private
Q-03138,"schedule_maintenance(module='tucan',task='sensor_repair',priority='urgent')",Public
Q-02167,"send_alert(module='condor',severity='medium',reason='power_fluctuation')",Public
Q-02777,no_action,Public
Q-03323,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')",Private
Q-01728,"send_alert(module='tucan',severity='high',reason='structural_damage')",Public
Q-00664,"get_crew_status(module='colibri',info='current_activity')",Public
Q-00252,"activate_protocol(protocol_id='MASA-SEC-006',scope='station_wide')",Public
Q-03316,"send_alert(module='tucan',severity='high',reason='structural_damage')",Private
Q-03422,"send_alert(module='condor',severity='high',reason='radiation_spike')",Private
Q-03272,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')",Private
Q-03264,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')",Private
Q-03267,no_action,Private
Q-03408,"send_alert(module='quetzal',severity='high',reason='pressure_drop')",Private
Q-00294,"send_alert(module='jaguar',severity='critical',reason='abnormal_temperature')",Public
Q-03130,"get_module_status(module='jaguar',system='life_support')",Public
Q-02130,"get_crew_status(module='condor',info='schedule')",Public
Q-03004,no_action,Public
Q-01738,"control_system(module='colibri',system='ventilation',action='increase')",Public
Q-03409,"request_supply(category='food',urgency='routine')",Private
Q-03544,no_action,Private
Q-03337,"activate_protocol(protocol_id='MASA-SEC-014',scope='station_wide')",Private
Q-03407,no_action,Private
Q-03160,"request_supply(category='scientific',urgency='routine')",Public
Q-03459,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')",Private
Q-01353,"schedule_maintenance(module='condor',task='hull_inspection',priority='routine')",Public
Q-00828,"send_alert(module='quetzal',severity='critical',reason='abnormal_temperature')",Public
Q-02899,no_action,Public
Q-03395,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')",Private
Q-00062,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')",Public
Q-02197,"get_telemetry(module='vicuna',metric='radiation',timeframe_hours=12)",Public
Q-00876,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')",Public
Q-02746,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')",Public
Q-01702,"schedule_maintenance(module='jaguar',task='filter_replacement',priority='routine')",Public
Q-02374,"send_alert(module='colibri',severity='critical',reason='oxygen_leak')",Public
Q-01138,"send_alert(module='condor',severity='high',reason='oxygen_leak')",Public
Q-03329,"send_alert(module='tucan',severity='high',reason='structural_damage')",Private
Q-03326,"request_supply(category='fuel',urgency='emergency')",Private
Q-00433,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')",Public
Q-03290,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')",Private
Q-03331,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')",Private
Q-03482,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')",Private
Q-03532,no_action,Private
Q-00045,"send_alert(module='condor',severity='high',reason='pressure_drop')",Public
Q-00588,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')",Public
Q-03524,no_action,Private
Q-03286,"send_alert(module='tucan',severity='medium',reason='power_fluctuation')",Private
Q-02619,"send_alert(module='tucan',severity='high',reason='structural_damage')",Public
Q-01165,"get_telemetry(module='tucan',metric='radiation',timeframe_hours=1)",Public
Q-03357,"send_alert(module='jaguar',severity='high',reason='radiation_spike')",Private
Q-02731,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')",Public
Q-02940,no_action,Public
Q-01128,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')",Public
Q-03307,"send_alert(module='colibri',severity='critical',reason='oxygen_leak')",Private
Q-00967,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')",Public
Q-00254,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')",Public
Q-03413,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')",Private
Q-03383,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')",Private
Q-03450,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')",Private
Q-00245,"schedule_maintenance(module='jaguar',task='sensor_repair',priority='routine')",Public
Q-02249,"request_supply(category='spare_parts',urgency='emergency')",Public
Q-01588,"send_alert(module='quetzal',severity='high',reason='pressure_drop')",Public
Q-00197,"send_alert(module='colibri',severity='high',reason='pressure_drop')",Public
Q-02010,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')",Public
Q-03365,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')",Private
Q-03406,"send_alert(module='vicuna',severity='high',reason='structural_damage')",Private
Q-00644,"send_alert(module='quetzal',severity='high',reason='oxygen_leak')",Public
Q-02967,no_action,Public
Q-03310,"get_telemetry(module='colibri',metric='power',timeframe_hours=6)",Private
Q-02403,"get_telemetry(module='colibri',metric='temperature',timeframe_hours=1)",Public
Q-02005,"get_module_status(module='jaguar',system='life_support')",Public
Q-00175,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')",Public
Q-02402,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')",Public
Q-01804,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')",Public
Q-01203,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')",Public
Q-02875,no_action,Public
Q-02897,no_action,Public
Q-01460,"send_alert(module='tucan',severity='high',reason='oxygen_leak')",Public
Q-00370,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')",Public
Q-03494,"send_alert(module='tucan',severity='critical',reason='pressure_drop')",Private
Q-03483,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')",Private
Q-03452,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')",Private
Q-03369,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')",Private
Q-00947,"schedule_maintenance(module='jaguar',task='software_update',priority='routine')",Public
Q-03192,"control_system(module='tucan',system='cooling',action='activate')",Public
Q-03495,"control_system(module='tucan',system='filtration',action='increase')",Private
Q-03317,"get_crew_status(module='condor',info='health')",Private
Q-02390,"get_telemetry(module='jaguar',metric='oxygen',timeframe_hours=12)",Public
Q-03430,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')",Private
Q-03554,"schedule_maintenance(module='colibri',task='software_update',priority='routine')",Private
Q-03297,"send_alert(module='colibri',severity='medium',reason='radiation_spike')",Private
Q-03231,"control_system(module='jaguar',system='cooling',action='increase')",Public
Q-03023,no_action,Public
Q-02871,no_action,Public
Q-03278,"send_alert(module='vicuna',severity='medium',reason='power_fluctuation')",Private
Q-03250,"send_message(recipient='specialist_2',priority='urgent')",Private
Q-03477,"control_system(module='condor',system='cooling',action='deactivate')",Private
Q-02063,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')",Public
Q-00006,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')",Public
Q-03465,"activate_protocol(protocol_id='MASA-SEC-015',scope='station_wide')",Private
Q-00406,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')",Public
Q-01131,"send_alert(module='quetzal',severity='high',reason='oxygen_leak')",Public
Q-03284,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')",Private
Q-01133,"get_module_status(module='jaguar',system='communications')",Public
Q-03418,"send_alert(module='colibri',severity='critical',reason='radiation_spike')",Private
Q-03441,"send_message(recipient='medical_officer',priority='high')",Private
Q-03283,"send_alert(module='quetzal',severity='high',reason='pressure_drop')",Private
Q-03315,"activate_protocol(protocol_id='MASA-SEC-014',scope='station_wide')",Private
Q-01644,no_action,Public
Q-03400,"send_alert(module='jaguar',severity='critical',reason='oxygen_leak')",Private
Q-02799,no_action,Public
Q-03487,"send_alert(module='condor',severity='high',reason='radiation_spike')",Private
Q-01070,"send_alert(module='jaguar',severity='critical',reason='pressure_drop')",Public
Q-03334,"send_alert(module='vicuna',severity='medium',reason='power_fluctuation')",Private
Q-02812,no_action,Public
Q-00364,"send_message(recipient='commander',priority='urgent')",Public
Q-00405,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')",Public
Q-03548,"calculate_trajectory(maneuver='orbit_adjustment',urgency='planned')",Private
Q-00541,"send_alert(module='quetzal',severity='medium',reason='radiation_spike')",Public
Q-01872,"send_message(recipient='commander',priority='low')",Public
Q-01045,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')",Public
Q-01040,"get_telemetry(module='colibri',metric='oxygen',timeframe_hours=6)",Public
Q-03394,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')",Private
Q-02414,"send_message(recipient='engineer',priority='low')",Public
Q-03460,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')",Private
Q-03309,"send_alert(module='quetzal',severity='high',reason='oxygen_leak')",Private
Q-01932,"control_system(module='colibri',system='lighting',action='activate')",Public
Q-03021,no_action,Public
Q-03380,"send_message(recipient='pilot',priority='medium')",Private
Q-03484,"send_alert(module='vicuna',severity='critical',reason='oxygen_leak')",Private
Q-00584,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')",Public
Q-03324,"control_system(module='vicuna',system='lighting',action='deactivate')",Private
Q-03488,"send_alert(module='vicuna',severity='critical',reason='radiation_spike')",Private
Q-02290,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')",Public
Q-01071,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')",Public
Q-03453,"get_telemetry(module='vicuna',metric='humidity',timeframe_hours=1)",Private
Q-01101,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')",Public
Q-02648,"send_alert(module='jaguar',severity='high',reason='structural_damage')",Public
Q-01048,"request_supply(category='scientific',urgency='emergency')",Public
Q-03540,no_action,Private
Q-03396,"schedule_maintenance(module='colibri',task='power_cell_swap',priority='routine')",Private
Q-01390,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')",Public
Q-03553,"calculate_trajectory(maneuver='orbit_adjustment',urgency='immediate')",Private
Q-01765,"control_system(module='vicuna',system='heating',action='deactivate')",Public
Q-03361,"send_alert(module='colibri',severity='high',reason='communication_loss')",Private
Q-02952,no_action,Public
Q-01915,"send_alert(module='colibri',severity='high',reason='pressure_drop')",Public
Q-01704,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')",Public
Q-03397,"get_module_status(module='colibri',system='life_support')",Private
Q-00663,"send_message(recipient='specialist_1',priority='low')",Public
Q-03333,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')",Private
Q-03497,"control_system(module='quetzal',system='cooling',action='deactivate')",Private
Q-02636,"send_alert(module='condor',severity='high',reason='pressure_drop')",Public
Q-01931,"send_alert(module='condor',severity='critical',reason='oxygen_leak')",Public
Q-00015,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')",Public
Q-01789,"send_alert(module='colibri',severity='medium',reason='power_fluctuation')",Public
Q-03024,no_action,Public
Q-03053,"get_module_status(module='condor',system='power')",Public
Q-00446,"control_system(module='tucan',system='lighting',action='decrease')",Public
Q-02014,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')",Public
Q-03040,no_action,Public
Q-03308,"calculate_trajectory(maneuver='debris_avoidance',urgency='immediate')",Private
Q-03514,no_action,Private
Q-03302,"send_alert(module='condor',severity='critical',reason='abnormal_temperature')",Private
Q-03440,"get_crew_status(module='tucan',info='schedule')",Private
Q-00682,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')",Public
Q-02506,"send_alert(module='quetzal',severity='high',reason='pressure_drop')",Public
Q-02312,"send_alert(module='quetzal',severity='medium',reason='power_fluctuation')",Public
Q-03512,no_action,Private
Q-00754,"schedule_maintenance(module='condor',task='filter_replacement',priority='urgent')",Public
Q-00781,"send_alert(module='quetzal',severity='high',reason='pressure_drop')",Public
Q-03195,"control_system(module='jaguar',system='cooling',action='increase')",Public
Q-01154,"send_alert(module='jaguar',severity='critical',reason='pressure_drop')",Public
Q-02455,"send_alert(module='tucan',severity='high',reason='radiation_spike')",Public
Q-03362,"send_alert(module='tucan',severity='medium',reason='power_fluctuation')",Private
Q-03364,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')",Private
Q-03525,no_action,Private
Q-01456,"send_alert(module='colibri',severity='medium',reason='power_fluctuation')",Public
Q-02040,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')",Public
Q-03447,"control_system(module='quetzal',system='lighting',action='deactivate')",Private
Q-03085,"control_system(module='vicuna',system='ventilation',action='increase')",Public
Q-00895,"get_telemetry(module='condor',metric='oxygen',timeframe_hours=12)",Public
Q-03147,"schedule_maintenance(module='colibri',task='system_calibration',priority='urgent')",Public
Q-02423,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')",Public
Q-01067,"send_alert(module='vicuna',severity='high',reason='radiation_spike')",Public
Q-03469,"calculate_trajectory(maneuver='docking',urgency='immediate')",Private
Q-03431,"send_alert(module='vicuna',severity='high',reason='oxygen_leak')",Private
Q-00345,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')",Public
Q-01605,"send_message(recipient='medical_officer',priority='high')",Public
Q-02180,"get_crew_status(module='tucan',info='location')",Public
Q-02512,"control_system(module='quetzal',system='heating',action='activate')",Public
Q-02612,"send_alert(module='quetzal',severity='high',reason='radiation_spike')",Public
Q-00132,"activate_protocol(protocol_id='MASA-SEC-007',scope='station_wide')",Public
Q-00415,"send_alert(module='condor',severity='high',reason='oxygen_leak')",Public
Q-00105,"get_telemetry(module='jaguar',metric='humidity',timeframe_hours=6)",Public
Q-01028,"send_alert(module='colibri',severity='medium',reason='power_fluctuation')",Public
Q-03296,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')",Private
Q-02849,no_action,Public
Q-03442,"get_crew_status(module='tucan',info='health')",Private
Q-03288,"send_alert(module='quetzal',severity='critical',reason='radiation_spike')",Private
Q-03490,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')",Private
Q-01923,"send_alert(module='colibri',severity='critical',reason='pressure_drop')",Public
Q-02751,"get_telemetry(module='colibri',metric='pressure',timeframe_hours=6)",Public
Q-03384,"send_alert(module='vicuna',severity='high',reason='pressure_drop')",Private
Q-03500,"send_alert(module='jaguar',severity='medium',reason='power_fluctuation')",Private
Q-02945,no_action,Public
Q-03511,"send_alert(module='quetzal',severity='high',reason='structural_damage')",Private
Q-02018,"get_module_status(module='jaguar',system='thermal')",Public
Q-00432,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')",Public
Q-03336,"control_system(module='jaguar',system='heating',action='activate')",Private
Q-03480,"get_module_status(module='condor',system='structural')",Private
Q-03282,"send_alert(module='vicuna',severity='critical',reason='abnormal_temperature')",Private
Q-00677,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')",Public
Q-01992,"get_crew_status(module='vicuna',info='health')",Public
Q-02615,"request_supply(category='food',urgency='expedited')",Public
Q-01469,"send_alert(module='colibri',severity='high',reason='communication_loss')",Public
Q-03428,"send_alert(module='tucan',severity='critical',reason='pressure_drop')",Private
Q-00255,"send_alert(module='colibri',severity='high',reason='pressure_drop')",Public
Q-01945,"send_alert(module='vicuna',severity='critical',reason='pressure_drop')",Public
Q-00548,"get_module_status(module='vicuna',system='life_support')",Public
Q-03504,"request_supply(category='medical',urgency='routine')",Private
Q-01480,"schedule_maintenance(module='vicuna',task='sensor_repair',priority='urgent')",Public
Q-02965,no_action,Public
Q-02996,no_action,Public
Q-01944,"activate_protocol(protocol_id='MASA-SEC-013',scope='module_only')",Public
Q-02822,no_action,Public
Q-02216,"send_alert(module='quetzal',severity='critical',reason='oxygen_leak')",Public
Q-00387,"send_alert(module='vicuna',severity='high',reason='pressure_drop')",Public
Q-00861,"send_alert(module='quetzal',severity='high',reason='pressure_drop')",Public
Q-03516,no_action,Private
Q-00690,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')",Public
